CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
A2171,Carboplatin,41575-94-4,F07,L1021-01,371.26,DMSO,C6H12N2O4Pt,>>O=C1C2(CCC2)C(O[Pt]O1)=O.N.N,insoluble in ETOH; ≥42.2 mg/mL in DMSO with gentle warming and ultrasonic; ≥9.28 mg/mL in H2O with gentle warming,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Antitumor agent that forms platinum-DNA adducts.,https://www.apexbt.com/search.php?catalog=A2171
A2174,Lenvatinib (E7080),417716-92-8,F08,L1021-01,426.85,DMSO,C21H19ClN4O4,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,≥21.35 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Tyrosine Kinase,VEGFR,VEGFR inhibitor,https://www.apexbt.com/search.php?catalog=A2174
A2187,Cladribine,4291-63-8,F09,L1021-01,285.69,DMSO,C10H12ClN5O3,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,≥41.67 mg/mL in DMSO with gentle warming; insoluble in H2O; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Apoptosis inducer in CLL cells,https://www.apexbt.com/search.php?catalog=A2187
A2197,Dacarbazine,4342-03-4,F10,L1021-01,182.18,DMSO,C6H10N6O,CN(C)NN=C1C(=NC=N1)C(=O)N,insoluble in EtOH; ≥0.54 mg/mL in H2O; ≥2.28 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Antineoplastic( malignant melanoma and sarcomas),https://www.apexbt.com/search.php?catalog=A2197
A2198,Genistein,446-72-0,F11,L1021-01,270.24,DMSO,C15H10O5,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,≥13.5 mg/mL in DMSO; insoluble in H2O; ≥2.59 mg/mL in EtOH with gentle warming,Free Base,DNA Damage/DNA Repair,Topoisomerase,ER agonist,https://www.apexbt.com/search.php?catalog=A2198
A2251,Tivozanib (AV-951),475108-18-0,G01,L1021-01,454.86,DMSO,C22H19ClN4O5,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,≥22.75 mg/mL in DMSO; insoluble in H2O; ≥2.68 mg/mL in EtOH with gentle warming,Free Base,Tyrosine Kinase,VEGFR,"VEGFR inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A2251
A2306,Ellagic acid,476-66-4,G02,L1021-01,302.19,DMSO,C14H6O8,OC1=C(O)C2=C3C(C(OC4=C3C(C(O2)=O)=CC(O)=C4O)=O)=C1,insoluble in H2O; insoluble in EtOH; ≥3.78 mg/mL in DMSO with gentle warming,,DNA Damage/DNA Repair,Topoisomerase,Casein kinase 2 (CK2) inhibitor,https://www.apexbt.com/search.php?catalog=A2306
A2308,TAK-438,1260141-27-2,G03,L1021-01,461.46,DMSO,C17H16FN3O2S·C4H4O4,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3.C(=CC(=O)O)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥18.9 mg/mL in DMSO ,,Membrane Transporter/Ion Channel,ATPase,Blocker of potassium-competitive acid,https://www.apexbt.com/search.php?catalog=A2308
A2324,Dexamethasone (DHAP),50-02-2,G04,L1021-01,392.46,DMSO,C22H29FO5,O=C1C=C[[C@H@]2(C)C(CC[[C@H@]3([H])[[C@H]2(F)[[C@@H](O)C[[C@H@]4(C)[[C@H@]3([H])C[[C@@H](C)[[C@H@]4(C(CO)=O)O)=C1,insoluble in H2O; ≥19.623 mg/mL in DMSO; ≥5.18 mg/mL in EtOH ,Free Base,Ubiquitination/Proteasome,Autophagy,Glucocorticoidan;anti-inflammatory,https://www.apexbt.com/search.php?catalog=A2324
A2343,Cyclophosphamide,50-18-0,G05,L1021-01,261.09,DMSO,C7H15Cl2N2O2P,C1CNP(=O)(OC1)N(CCCl)CCCl,≥11.85 mg/mL in H2O with gentle warming and ultrasonic; ≥13.05 mg/mL in DMSO; ≥50.8 mg/mL in EtOH ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Nitrogen mustard alkylating agent and prodrug.,https://www.apexbt.com/search.php?catalog=A2343
A2355,Mercaptopurine (6-MP),50-44-2,G06,L1021-01,152.18,DMSO,C5H4N4S,C1=NC2=C(N1)C(=S)N=CN2,insoluble in EtOH; insoluble in H2O; ≥7.61 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Purine synthesis inhibitor,https://www.apexbt.com/search.php?catalog=A2355
A2402,Floxuridine,50-91-9,G07,L1021-01,246.19,DMSO,C9H11FN2O5,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,≥12.31 mg/mL in DMSO; ≥19.53 mg/mL in EtOH; ≥85.5 mg/mL in H2O ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Antineoplastic antimetabolite,https://www.apexbt.com/search.php?catalog=A2402
A2415,Acitretin,55079-83-9,G08,L1021-01,326.43,DMSO,C21H26O3,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,insoluble in EtOH; insoluble in H2O; ≥16.32 mg/mL in DMSO ,Free Base,Others,RAR/RXR,Metabolite of etretinate,https://www.apexbt.com/search.php?catalog=A2415
A2431,Acarbose,56180-94-0,G09,L1021-01,645.6,DMSO,C25H43NO18,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,≥22.35 mg/mL in DMSO; insoluble in EtOH; ≥51 mg/mL in H2O ,Free Base,Others,Others,Alpha-glucosidase inhibitor,https://www.apexbt.com/search.php?catalog=A2431
A2436,Fluoxetine HCl,56296-78-7,G10,L1021-01,345.79,DMSO,C17H18F3NO·HCl,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,insoluble in H2O; ≥17.3 mg/mL in DMSO; ≥32.2 mg/mL in EtOH ,Hydrochloride,Neuroscience,5-HT Receptor,"Serotonin reuptake inhibitor,selective",https://www.apexbt.com/search.php?catalog=A2436
A2451,Epirubicin HCl,56390-09-1,G11,L1021-01,579.98,DMSO,C27H29NO11·HCl,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,≥29.00 mg/mL in DMSO; ≥10.12 mg/mL in EtOH with gentle warming and ultrasonic; ≥40.33 mg/mL in H2O with gentle warming,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,Antibiotic antitumor agent,https://www.apexbt.com/search.php?catalog=A2451
A2456,Pamidronate Disodium,57248-88-1,H01,L1021-01,279.03,H2O,C3H9NNa2O7P2,O=P([O-])(O)C(CCN)(P([O-])(O)=O)O.[Na+].[Na+],insoluble in EtOH; insoluble in DMSO; ≥13.95 mg/mL in H2O ,Disodium,Others,Others,Bisphosphonate antiresorptive agent & bone resorption inhibitor,https://www.apexbt.com/search.php?catalog=A2456
A2476,Idarubicin HCl,57852-57-0,H02,L1021-01,533.95,DMSO,C26H28ClNO9,O=C(C1=C2C(O)=C3C([[C@@H](O[[C@H]4([H])O[[C@@H](C)[[C@@H](O)[[C@@H](N)C4)C[[C@H](O)(C(C)=O)C3)=C1O)C5=CC=CC=C5C2=O.Cl,≥26.7 mg/mL in DMSO; insoluble in EtOH; ≥2.39 mg/mL in H2O with ultrasonic,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,"Anthracycline and daunorubicin analog,topoisomerase inhibitor",https://www.apexbt.com/search.php?catalog=A2476
A2486,Malotilate,59937-28-9,H03,L1021-01,288.38,DMSO,C12H16O4S2,CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C,insoluble in H2O; ≥14.419 mg/mL in DMSO; ≥25.83 mg/mL in EtOH ,Free Base,Metabolism,5-Lipoxygenase,Stimulates hepatocyte regeneration,https://www.apexbt.com/search.php?catalog=A2486
A2489,Leucovorin Calcium,6035-45-6,H04,L1021-01,601.58,H2O,C20H31CaN7O12,O=C1C(N2C([H])=O)=C(NCC2CNC3=CC=C(C(N[[C@@H](CCC([O-])=O)C([O-])=O)=O)C=C3)NC(N)=N1.O.O.O.O.[Ca+2].O,insoluble in DMSO; insoluble in EtOH; ≥15.04 mg/mL in H2O with gentle warming,Calcium,Metabolism,Folate Analogue,Derivative of folic acid,https://www.apexbt.com/search.php?catalog=A2489
A2510,Ampicillin,69-52-3,H05,L1021-01,371.4,DMSO,C16H18N3NaO4S,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+],≥18.57 mg/mL in H2O; ≥73.6 mg/mL in DMSO; ≥75.2 mg/mL in EtOH ,Sodium,Microbiology & Virology,Antibiotic,_-lactam antibiotic,https://www.apexbt.com/search.php?catalog=A2510
A2511,"Carbenicillin, Disodium Salt",4800-94-6,H06,L1021-01,422.4,DMSO,C17H16N2O6SNa2,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+],insoluble in EtOH; ≥8.64 mg/mL in DMSO with gentle warming and ultrasonic; ≥80.8 mg/mL in H2O ,,Microbiology & Virology,Antibiotic,"Inhibits the cell-wall synthesis,antibiotic",https://www.apexbt.com/search.php?catalog=A2511
A2512,Chloramphenicol,56-75-7,H07,L1021-01,323.13,DMSO,C11H12Cl2N2O5,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],≥16.16 mg/mL in DMSO; ≥16.25 mg/mL in H2O with gentle warming and ultrasonic; ≥33 mg/mL in EtOH ,Free Base,Microbiology & Virology,Antibiotic,Inhibits translation(blocking peptidyl transferase),https://www.apexbt.com/search.php?catalog=A2512
A2513,"Geneticin, G-418 Sulfate",108321-42-2,H08,L1021-01,692.71,H2O,C20H40N4O10·2H2SO4,CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O.OS(=O)(=O)O.OS(=O)(=O)O,insoluble in EtOH; insoluble in DMSO; ≥64.6 mg/mL in H2O ,,Microbiology & Virology,Antibiotic,Aminoglycosidic antibiotic,https://www.apexbt.com/search.php?catalog=A2513
A2514,Gentamycin Sulfate,1405-41-0,H09,L1021-01,1506.80,H2O,C60H127N15O26S,C[[C@H]1(O)CO[[C@H](O[[C@H]2[[C@H](N)C[[C@H](N)[[C@@H](O[[C@H]3O[[C@H@]([H])([[C@@H](C)NC)CC[[C@H]3N)[[C@@H]2O)[[C@H](O)[[C@H]1NC.C[[C@H]4(O)CO[[C@H](O[[C@H]5[[C@H](N)C[[C@H](N)[[C@@H](O[[C@H]6O[[C@H](CN)CC[[C@H]6N)[[C@@H]5O)[[C@H](O)[[C@H]4NC.C[[C@H]7(O)CO[[C@H](O[[C@H]8[[C@H](N)C[[C@H](,≥51.1 mg/mL in H2O; insoluble in DMSO; insoluble in EtOH,Free Base,Microbiology & Virology,Antibiotic,Aminoglycoside antibiotic,https://www.apexbt.com/search.php?catalog=A2514
A2515,Hygromycin B,31282-04-9,H10,L1021-01,527.5,DMSO,C20H37N3O13,CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N,≥26.38 mg/mL in H2O; ≥5.35 mg/mL in EtOH; ≥9.14 mg/mL in DMSO ,Free Base,Microbiology & Virology,Antibiotic,Suitable for mammalian cell selection,https://www.apexbt.com/search.php?catalog=A2515
A2516,Kanamycin Sulfate,25389-94-0,H11,L1021-01,582.58,H2O,C18H36N4O11·H2SO4,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N.OS(=O)(=O)O,≥29.13 mg/mL in H2O; insoluble in EtOH; insoluble in DMSO,Sulfate,Microbiology & Virology,Antibiotic,Water-soluble antibiotic,https://www.apexbt.com/search.php?catalog=A2516
A2517,Tetracycline Hydrochloride,64-75-5,A01,L1021-02,480.90,DMSO,C22H25ClN2O8,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,insoluble in EtOH; ≥12.02 mg/mL in DMSO with gentle warming; ≥57.7 mg/mL in H2O ,Hydrochloride,Microbiology & Virology,Antibiotic,Bacteriostatic antibiotics,https://www.apexbt.com/search.php?catalog=A2517
A2547,Vortioxetine (Lu AA21004) HBr,960203-27-4,A02,L1021-02,379.36,DMSO,C18H22N2S·HBr,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Br,insoluble in H2O; ≥50 mg/mL in DMSO; ≥5.44 mg/mL in EtOH with ultrasonic,HBr,Neuroscience,5-HT Receptor,"5-HT receptor modulator, antidepressant and anxiolytic",https://www.apexbt.com/search.php?catalog=A2547
A2548,Carmofur,61422-45-5,A03,L1021-02,257.26,DMSO,C11H16FN3O3,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,insoluble in H2O; ≥10.5 mg/mL in EtOH with ultrasonic; ≥12.2 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,"Cytostatic derivative of fluorouracilm,antineoplatic agent",https://www.apexbt.com/search.php?catalog=A2548
A2552,Quercetin dihydrate,6151-25-3,A04,L1021-02,338.27,DMSO,C15H10O7·2H2O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O,≥33.8 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,,PI3K/Akt/mTOR Signaling,PI3K,,https://www.apexbt.com/search.php?catalog=A2552
A2553,Fluvoxamine maleate,61718-82-9,A05,L1021-02,434.41,DMSO,C14H18F3N2O2·C4H4O4,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O,≥21.72 mg/mL in DMSO; ≥2.78 mg/mL in H2O with gentle warming and ultrasonic; ≥56.7 mg/mL in EtOH ,Maleate,Neuroscience,5-HT Receptor,"Serotonin reuptake inhibitor,selective,antidepressant",https://www.apexbt.com/search.php?catalog=A2553
A2559,Altretamine,645-05-6,A06,L1021-02,210.28,DMSO,C9H18N6,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,insoluble in H2O; ≥36.3 mg/mL in DMSO with ultrasonic; ≥8.85 mg/mL in EtOH ,,DNA Damage/DNA Repair,DNA Alkylating,Antineoplastic agent,https://www.apexbt.com/search.php?catalog=A2559
A2574,Aprotinin,9087-70-1,A07,L1021-02,6511.44,H2O,C284H432N84O79S7,CC(O)=O.CC.CC.CCccC.[R].[P].[2H].[L].[E].[P].[P].[Y].[3H].[G].[KH].[R].[R].[Y].F.[Y].[*].[L].F.[V].[Y].[G].[G].[R].[KH].[R].N.N.F.[KH].S.[*].[2H].[R].[G].[G].[*].[KH].[*].[3H].C.[*].F.[P].[*].I.I.N.[Q].[3H].[M],≥195 mg/mL in H2O; insoluble in DMSO; insoluble in EtOH,Free Base,Proteases,Serine Protease,Inhibitor of bovine pancreatic trypsin,https://www.apexbt.com/search.php?catalog=A2574
A2575,Bestatin,58970-76-6,A08,L1021-02,308.37,DMSO,C16H24N2O4,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,insoluble in H2O; insoluble in EtOH; ≥12.34 mg/mL in DMSO ,,Proteases,Aminopeptidase,Aminopeptidase inhibitor,https://www.apexbt.com/search.php?catalog=A2575
A2577,Batimastat (BB-94),130370-60-4,A09,L1021-02,477.64,DMSO,C23H31N3O4S2,CNC([[C@@H](NC([[C@@H]([[C@H](CSC1=CC=CS1)C(NO)=O)CC(C)C)=O)CC2=CC=CC=C2)=O,≥23.88 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Proteases,MMP,MMP inhibitor,https://www.apexbt.com/search.php?catalog=A2577
A2586,Nafamostat Mesylate(FUT-175),82956-11-4,A10,L1021-02,539.59,DMSO,C19H17N5O2·2CH4O3S,CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,≥27 mg/mL in DMSO; ≥54 mg/mL in H2O; insoluble in EtOH,Mesylate,Proteases,Serine Protease,Serine protease inhibitor,https://www.apexbt.com/search.php?catalog=A2586
A2587,PMSF,329-98-6,A11,L1021-02,174.2,DMSO,C7H7FO2S,C1=CC=C(C=C1)CS(=O)(=O)F,insoluble in H2O; ≥17.4 mg/mL in DMSO; ≥28.3 mg/mL in EtOH ,Free Base,Proteases,Serine Protease,"Serine proteinases inhibitor, irreversible",https://www.apexbt.com/search.php?catalog=A2587
A2600,(-)-Epigallocatechin gallate (EGCG),989-51-5,B01,L1021-02,458.37,DMSO,C22H18O11,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,≥22.9 mg/mL in DMSO; ≥10.9 mg/mL in H2O with ultrasonic; ≥6.76 mg/mL in EtOH with ultrasonic,#N/A,TGF-_ / Smad Signaling,PKC,"Antioxidant, antiangiogenic and antitumor agent",https://www.apexbt.com/search.php?catalog=A2600
A2610,Fenbendazole,43210-67-9,B02,L1021-02,299.35,DMSO,C15H13N3O2S,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,insoluble in EtOH; insoluble in H2O; ≥7.48 mg/mL in DMSO ,Free Base,Others,Others,For pinworm treatment in animals,https://www.apexbt.com/search.php?catalog=A2610
A2614,Bortezomib (PS-341),179324-69-7,B03,L1021-02,384.24,DMSO,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,insoluble in EtOH; insoluble in H2O; ≥19.21 mg/mL in DMSO ,,Ubiquitination/Proteasome,Proteasome,,https://www.apexbt.com/search.php?catalog=A2614
A2664,VX-661,1152311-62-0,B04,L1021-02,520.5,DMSO,C26H27F3N2O6,CC(C)(CO)C1=CC2=CC(=C(C=C2N1CC(CO)O)F)NC(=O)C3(CC3)C4=CC5=C(C=C4)OC(O5)(F)F,≥21.8 mg/mL in DMSO; insoluble in EtOH; ≥24.3 mg/mL in H2O ,,Membrane Transporter/Ion Channel,CFTR,,https://www.apexbt.com/search.php?catalog=A2664
A2782,Amonafide,69408-81-7,B05,L1021-02,283.33,DMSO,C16H17N3O2,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N,insoluble in EtOH; insoluble in H2O; ≥14.17 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,Topoisomerase,"DNA intercalator,Topo II inhibitor",https://www.apexbt.com/search.php?catalog=A2782
A2813,Ivermectin,70288-86-7,B06,L1021-02,875.09,DMSO,C48H74O14,C/C([[C@@H](O[[C@H]1C[[C@H](OC)[[C@@H](O[[C@H]2C[[C@H](OC)[[C@@H](O)[[C@H](C)O2)[[C@H](C)O1)[[C@@H](C)/C=C/C=C(CO3)/[[C@H@]([[C@H@]3([H])[[C@H](O)C(C)=C4)(O)[[C@@H]4C5=O)=C\C[[C@@H]6C[[C@H](O5)C[[C@H@]7(O[[C@H@]([[C@@H](C)CC)([H])[[C@@H](C)CC7)O6,≥43.75 mg/mL in DMSO; insoluble in H2O; ≥19.8 mg/mL in EtOH,Free Base,Membrane Transporter/Ion Channel,P2X purinergic receptor,NAChR/purinergic P2X4 receptor modulator,https://www.apexbt.com/search.php?catalog=A2813
A2842,Melatonin,73-31-4,B07,L1021-02,232.28,DMSO,C13H16N2O2,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,≥23.2 mg/mL in DMSO; insoluble in H2O; ≥79.9 mg/mL in EtOH,Free Base,Others,Others,Melatonin receptors agonist,https://www.apexbt.com/search.php?catalog=A2842
A2845,Omeprazole,73590-58-6,B08,L1021-02,345.42,DMSO,C17H19N3O3S,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,insoluble in H2O; insoluble in EtOH; ≥17.27 mg/mL in DMSO,Free Base,Ubiquitination/Proteasome,Autophagy,"H+,K+-ATPase inhibitor",https://www.apexbt.com/search.php?catalog=A2845
A2852,Leflunomide,75706-12-6,B09,L1021-02,270.21,DMSO,C12H9F3N2O2,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,≥83.33 mg/mL in DMSO; insoluble in H2O; ≥18.57 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,Nucleoside Antimetabolite/Analogue,"AHR agonist,immunosuppressive agent",https://www.apexbt.com/search.php?catalog=A2852
A2877,Camptothecin,7689-03-4,B10,L1021-02,348.35,DMSO,C20H16N2O4,O=C(N(CC1=CC(C=CC=C2)=C2N=C13)C3=C4)C(CO5)=C4[[C@H@](O)(CC)C5=O,insoluble in H2O; insoluble in EtOH; ≥8.7 mg/mL in DMSO,,DNA Damage/DNA Repair,Topoisomerase,,https://www.apexbt.com/search.php?catalog=A2877
A2884,Doxazosin Mesylate,77883-43-3,B11,L1021-02,547.58,DMSO,C23H25N5O5·CH4O3S,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,insoluble in EtOH; insoluble in H2O; ≥13.69 mg/mL in DMSO with gentle warming,Mesylate,GPCR/G protein,Adrenergic Receptor,_1-adrenergic receptor antagonist,https://www.apexbt.com/search.php?catalog=A2884
A2890,Nepafenac,78281-72-8,C01,L1021-02,254.28,DMSO,C15H14N2O2,C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)N)N,insoluble in EtOH; insoluble in H2O; ≥9.95 mg/mL in DMSO,Free Base,Neuroscience,COX,COX-1 and COX-2 inhibitor,https://www.apexbt.com/search.php?catalog=A2890
A2917,Flumazenil,78755-81-4,C02,L1021-02,303.29,DMSO,C15H14FN3O3,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,insoluble in H2O; insoluble in EtOH; ≥15.16 mg/mL in DMSO,Free Base,Neuroscience,GABA Receptor,Benzodiazepine antagonist,https://www.apexbt.com/search.php?catalog=A2917
A2942,Masitinib (AB1010),790299-79-5,C03,L1021-02,498.64,DMSO,C28H30N6OS,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,≥24.95 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Tyrosine Kinase,c-Kit,"Tyrosine kinase inhibitor, potent and selective",https://www.apexbt.com/search.php?catalog=A2942
A2949,Linifanib (ABT-869),796967-16-3,C04,L1021-02,375.41,DMSO,C21H18FN5O,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,insoluble in H2O; insoluble in EtOH; ≥18.75 mg/mL in DMSO,,Tyrosine Kinase,VEGFR,VEGFR/PDGFR inhibitor,https://www.apexbt.com/search.php?catalog=A2949
A2960,Loratadine,79794-75-5,C05,L1021-02,382.88,DMSO,C22H23ClN2O2,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,insoluble in H2O; ≥19.14 mg/mL in DMSO; ≥21.85 mg/mL in EtOH,Free Base,Neuroscience,Histamine Receptor,Peripheral HH1R antagonist,https://www.apexbt.com/search.php?catalog=A2960
A2974,Foretinib (GSK1363089),849217-64-7,C06,L1021-02,632.65,DMSO,C34H34F2N4O6,COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,≥31.65 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Tyrosine Kinase,VEGFR,VEGF and HGF receptor inhibitor,https://www.apexbt.com/search.php?catalog=A2974
A2977,"Cabozantinib (XL184, BMS-907351)",849217-68-1,C07,L1021-02,501.51,DMSO,C28H24FN3O5,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,≥25.08 mg/mL in DMSO; insoluble in H2O; ≥20.65 mg/mL in EtOH,Free Base,Tyrosine Kinase,c-MET,VEGFR2/Met/Ret/Kit/FLT//AXL inhibitor,https://www.apexbt.com/search.php?catalog=A2977
A3001,PCI-32765 (Ibrutinib),936563-96-1,C08,L1021-02,440.5,DMSO,C25H24N6O2,C=CC(=O)N1CCCC(C1)N2C3=C(C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=NC=N3)N,≥22.02 mg/mL in DMSO; insoluble in H2O; ≥10.4 mg/mL in EtOH with ultrasonic,Free Base,Angiogenesis,BTK,Bruton's tyrosine kinase (BTK) inhibitor,https://www.apexbt.com/search.php?catalog=A3001
A3002,ABT-888 (Veliparib),912444-00-9,C09,L1021-02,244.3,DMSO,C13H16N4O,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,insoluble in H2O; ≥10.6 mg/mL in EtOH with ultrasonic; ≥6.11 mg/mL in DMSO,Free Base,Chromatin/Epigenetics,PARP,Potent PARP inhibitor,https://www.apexbt.com/search.php?catalog=A3002
A3003,MDV3100 (Enzalutamide),915087-33-1,C10,L1021-02,464.4,DMSO,C21H16F4N4O2S,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,≥23.22 mg/mL in DMSO; insoluble in H2O; ≥9.44 mg/mL in EtOH,Free Base,Endocrinology and Hormones,Androgen Receptor,Androgen receptor antagonist,https://www.apexbt.com/search.php?catalog=A3003
A3004,"Vemurafenib (PLX4032, RG7204)",918504-65-1,C11,L1021-02,489.93,DMSO,C23H18ClF2N3O3S,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F,≥24.5 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,MAPK Signaling,MEK1/2,BRAF kinase inhibitor,https://www.apexbt.com/search.php?catalog=A3004
A3005,"CAL-101 (Idelalisib, GS-1101)",870281-82-6,D01,L1021-02,415.43,DMSO,C22H18FN7O,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,insoluble in H2O; ≥2.1 mg/mL in EtOH with gentle warming and ultrasonic; ≥80.2 mg/mL in DMSO,Free Base,PI3K/Akt/mTOR Signaling,PI3K,PI3K inhibitor,https://www.apexbt.com/search.php?catalog=A3005
A3007,ABT-263 (Navitoclax),923564-51-6,D02,L1021-02,974.61,DMSO,C47H55ClF3N5O6S3,CC(CC1)(C)CC(CN2CCN(C3=CC=C(C(NS(C4=CC=C(N[[C@@H](CSC5=CC=CC=C5)CCN6CCOCC6)C(S(C(F)(F)F)(=O)=O)=C4)(=O)=O)=O)C=C3)CC2)=C1C7=CC=C(Cl)C=C7,≥48.73 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Apoptosis,Bcl-2 Family,"Potent Bcl-2 family inhibitor, inhibits Bcl-2, Bcl-xL, and Bcl-w",https://www.apexbt.com/search.php?catalog=A3007
